System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:48:33.350, 101.983, 10.870, 6.880, 1.206, 0.036, 1618, 3136, 75, 62, 65, 69, 59, 42.375, 19.403, 50.083, 17.000
17:48:34.339, 102.972, 11.542, 6.984, 1.280, 0.110, 1783, 3169, 125, 60, 63, 65, 59, 41.603, 20.513, 48.562, 33.000
17:48:35.336, 103.969, 11.408, 6.626, 1.300, 0.096, 1492, 3135, 101, 61, 63, 66, 60, 45.511, 17.910, 54.742, 21.000
17:48:36.350, 104.983, 13.554, 7.894, 1.434, 0.114, 1777, 3160, 92, 61, 63, 66, 60, 52.528, 14.286, 65.296, 23.000
17:48:37.340, 105.973, 11.878, 6.518, 1.442, 0.236, 1767, 3190, 200, 61, 64, 66, 60, 44.571, 15.578, 54.300, 31.000
17:48:38.331, 106.963, 7.314, 3.540, 1.124, 0.112, 1308, 3186, 86, 59, 63, 66, 60, 25.158, 8.629, 30.640, 29.000
17:48:39.333, 107.966, 7.784, 3.822, 1.164, 0.130, 1210, 3179, 58, 58, 62, 65, 60, 25.312, 8.000, 31.063, 29.000
17:48:40.335, 108.968, 7.246, 3.380, 1.126, 0.088, 1194, 3196, 67, 59, 62, 65, 60, 28.892, 12.935, 34.219, 27.000
17:48:41.340, 109.973, 7.246, 3.508, 1.134, 0.074, 1307, 3199, 52, 59, 62, 64, 60, 24.469, 7.500, 30.116, 14.000
17:48:42.330, 110.963, 7.516, 3.580, 1.154, 0.098, 1325, 3188, 71, 59, 62, 65, 60, 26.826, 12.563, 31.597, 18.000
17:48:43.364, 111.997, 3.422, 1.248, 0.660, 0.318, 1492, 2203, 255, 59, 62, 64, 60, 21.886, 16.019, 23.833, 37.000
17:48:44.405, 113.038, 8.924, 5.184, 1.152, 0.038, 1411, 3168, 64, 60, 62, 64, 60, 38.563, 19.048, 45.120, 25.000
17:48:45.333, 113.966, 9.796, 5.722, 1.138, 0.044, 1511, 3152, 68, 60, 63, 66, 60, 31.898, 11.828, 38.600, 18.000
17:48:46.353, 114.986, 11.206, 6.826, 1.222, 0.034, 1834, 3129, 83, 61, 63, 66, 60, 37.531, 17.157, 44.300, 18.000
17:48:47.322, 115.955, 12.348, 7.708, 1.250, 0.030, 1850, 3178, 59, 60, 63, 67, 61, 37.935, 21.244, 43.471, 15.000
17:48:48.325, 116.958, 21.340, 16.390, 1.552, 0.214, 2050, 3039, 165, 61, 64, 67, 60, 67.875, 55.224, 72.120, 35.000
17:48:49.600, 118.233, 6.038, 2.934, 0.814, 0.210, 1577, 2514, 142, 65, 69, 73, 62, 54.465, 51.181, 55.556, 45.000
